line,arm,step,slice,n_items,k,pass_at_k_,pass_at_k_lo,pass_at_k_hi,best_reward_at_k_,best_reward_at_k_lo,best_reward_at_k_hi
3b,tailrl,100,category:CAD,261,16,0.3553927677028838,0.30456666894335593,0.40930642127648187,1.8401513845009843,1.787777203254886,1.895258837837476
3b,tailrl,100,category:CAD,261,32,0.402846813298918,0.34979936468086686,0.45890109021076403,1.8911506659762833,1.8368089791945736,1.9480278471154868
3b,tailrl,100,category:CAD,261,64,0.45342793249890256,0.39971094739866464,0.5097869059184694,1.9438543325036959,1.8904679836897003,2.0012727448050702
3b,tailrl,100,category:CAD,261,128,0.5077426790987783,0.45425606200167645,0.5665078376780543,1.9993987896917937,1.9467374996371745,2.059511945812645
3b,tailrl,100,category:Creative,341,1,0.22679160557184752,0.18915729243035193,0.2676710559475806,1.6519150536239449,1.6076368335982987,1.6979134303389853
3b,tailrl,100,category:Creative,341,2,0.2746490918631743,0.23417506167468188,0.3166330622743915,1.7218236784034826,1.6753294454476853,1.7698952758946982
3b,tailrl,100,category:Creative,341,4,0.3173605401456348,0.2734367749537776,0.36165607440067876,1.7766656486379666,1.7271931450799412,1.8269581555255583
3b,tailrl,100,category:Creative,341,8,0.3565224061624281,0.310242994552479,0.4034906487703822,1.8236012306400309,1.7728575726267268,1.873924400681007
3b,tailrl,100,category:Creative,341,16,0.3936186979818682,0.34456524534245103,0.44056883474428665,1.8659141965527888,1.814463486884494,1.9152683946761098
3b,tailrl,100,category:Creative,341,32,0.42965451851675085,0.38051551576000825,0.47705667557415626,1.9055069682643497,1.8523464311349076,1.9556344990380417
3b,tailrl,100,category:Creative,341,64,0.4658327237182651,0.41443360566405973,0.5132807050283487,1.9442136686723888,1.8893852967367024,1.996765003784739
3b,tailrl,100,category:Creative,341,128,0.5037819783826096,0.45296293663832893,0.5537481808766266,1.9838818775562048,1.929006206957384,2.0352218554377357
3b,tailrl,100,category:Dev,299,1,0.18955110785953178,0.15562748223244144,0.22259288775083602,1.611475814361668,1.5709923939900432,1.6539883521629806
3b,tailrl,100,category:Dev,299,2,0.24821181600933312,0.20922170635954643,0.28649173400490213,1.6972108140256295,1.6534270302829523,1.7421694664798364
3b,tailrl,100,category:Dev,299,4,0.3070337280913384,0.26278889102270203,0.3520063680068221,1.771032396332979,1.7246267126748187,1.8215815298555582
3b,tailrl,100,category:Dev,299,8,0.36016212576824097,0.31521740353530464,0.4095719021686906,1.8334537504063642,1.7860336633608649,1.8866884148725875
3b,tailrl,100,category:Dev,299,16,0.40823247988807765,0.3622834765380904,0.4613457526636949,1.8877416905292392,1.8366365354946563,1.942871957900061
3b,tailrl,100,category:Dev,299,32,0.4519022937343493,0.4023185693842005,0.5070605862524529,1.9356313306955075,1.882480964242121,1.9934420689690062
3b,tailrl,100,category:Dev,299,64,0.49143566825732254,0.4398394237133362,0.5481697967095592,1.9777955377923153,1.92304340806254,2.036146434418436
3b,tailrl,100,category:Dev,299,128,0.5265239435130051,0.47472344591373367,0.5823807074321202,2.014483565110414,1.9597467486523856,2.07225284493896
3b,tailrl,100,category:OS,196,1,0.13757573341836732,0.10192347935267856,0.17389239875637752,1.5247764578191,1.4752631689489601,1.5738805377957041
3b,tailrl,100,category:OS,196,2,0.1863567834178681,0.14070979350338472,0.2284226196976466,1.603968049452722,1.549190012961243,1.6575457451436473
3b,tailrl,100,category:OS,196,4,0.23686164782689093,0.18563493905747822,0.28448525897671645,1.6729692030805048,1.61420250937006,1.7311301205218224
3b,tailrl,100,category:OS,196,8,0.28538205207207645,0.2298414401997449,0.3372854052913299,1.7341042448595316,1.6730607930325962,1.7939372500198396
3b,tailrl,100,category:OS,196,16,0.33223684974070583,0.27422281403649046,0.3891186308152017,1.790934240254586,1.7291467538229235,1.8533059034548849
3b,tailrl,100,category:OS,196,32,0.380884809000765,0.32168257263849565,0.44089723639335,1.847524185750285,1.783253839440626,1.9120271808486589
3b,tailrl,100,category:OS,196,64,0.4309053340614739,0.3695529540181233,0.49315608328281896,1.9033321971673143,1.836941560284461,1.970781516964717
3b,tailrl,100,category:OS,196,128,0.47537725043422013,0.40988211594014423,0.5390279572523989,1.9516129809498994,1.8847037679926348,2.019418000573372
3b,tailrl,100,category:Office,230,1,0.3825577445652174,0.32913170855978263,0.43784455672554345,1.8381101424286928,1.776600346785075,1.90005037393499
3b,tailrl,100,category:Office,230,2,0.44395220901046545,0.38615362251260316,0.503653904189356,1.9132090242445972,1.8487875923311392,1.977417123840834
3b,tailrl,100,category:Office,230,4,0.4929895532846071,0.43500611900316893,0.5526641391972156,1.9703202123968022,1.9063401035865095,2.034649071887338
3b,tailrl,100,category:Office,230,8,0.5358088866015136,0.4762578649412732,0.5936746627948375,2.0184413703263764,1.9555362102966134,2.0791729744129497
3b,tailrl,100,category:Office,230,16,0.5782922726135279,0.5197547456087163,0.6355019963206051,2.064191208198003,2.002902328500709,2.1240772968760164
3b,tailrl,100,category:Office,230,32,0.6225460539794493,0.5666813036659282,0.6775704700821313,2.110333024255011,2.0523319822934023,2.168866496211847
3b,tailrl,100,category:Office,230,64,0.6673727338867287,0.614256828506274,0.7195543754762866,2.1563570590697685,2.0980692747460203,2.2129558226022237
3b,tailrl,100,category:Office,230,128,0.7096142793702775,0.6562602983349599,0.7609149181809494,2.199381795255555,2.1436088271158895,2.254571030016343
3b,tailrl,100,category:Scientific,254,1,0.32767901082677164,0.28088532695620083,0.37713248185285436,1.7260829085961717,1.6673892009425575,1.7872674637995019
3b,tailrl,100,category:Scientific,254,2,0.38504816406189807,0.3365193745714363,0.4392574648938895,1.819089163822678,1.7597668030830844,1.8800290109610005
3b,tailrl,100,category:Scientific,254,4,0.4337898775568837,0.3805157885705674,0.48929232000540007,1.890020241852417,1.8299961626602266,1.952044187319344
3b,tailrl,100,category:Scientific,254,8,0.47285200598574223,0.4162140329763072,0.5304896388981118,1.94327491942032,1.883241720303606,2.0052687493778367
3b,tailrl,100,category:Scientific,254,16,0.504538562477485,0.44900540026686203,0.5603915839727303,1.9844232579922658,1.925375504277401,2.045653606561987
3b,tailrl,100,category:Scientific,254,32,0.5355698619438473,0.4820317530267845,0.5893549881321184,2.022110957465162,1.965290653676346,2.080174709549557
3b,tailrl,100,category:Scientific,254,64,0.5691687671132026,0.5157879220154289,0.6214163818610942,2.060320715914257,2.0050452289644056,2.1141786798996236
3b,tailrl,100,category:Scientific,254,128,0.6032891583408654,0.5473364152636945,0.6545558030969413,2.0972587272840797,2.042537272346526,2.1502175071853733
3b,tailrl,100,ui_type:icon,604,1,0.06667140935430461,0.051841402369619184,0.08430175781249998,1.4262376953551978,1.4034495808411134,1.4505721534424039
3b,tailrl,100,ui_type:icon,604,2,0.09053419453318384,0.07235535089577311,0.11130831430183316,1.49435310068783,1.470639088856362,1.5215122218398656
3b,tailrl,100,ui_type:icon,604,4,0.1170949117140979,0.09603488697444859,0.14080255686797116,1.5470300589276986,1.5215095620600303,1.5756367495784311
3b,tailrl,100,ui_type:icon,604,8,0.14649275249676044,0.12222945363860341,0.17256315254945478,1.5934173260434152,1.5668395819751963,1.62289450645416
3b,tailrl,100,ui_type:icon,604,16,0.17921400870292442,0.15134510960198488,0.20761325733216232,1.638018656647296,1.6080329682184111,1.6684612066310152
3b,tailrl,100,ui_type:icon,604,32,0.21721028473828088,0.187581161162229,0.24646663044763814,1.6844920858420735,1.6522013465933876,1.7162584537165053
3b,tailrl,100,ui_type:icon,604,64,0.2629108412899724,0.2296886301906226,0.2955434572831193,1.736002889773484,1.701655160521885,1.7701446352655639
3b,tailrl,100,ui_type:icon,604,128,0.31390093929252616,0.2780833113591493,0.3504488008044912,1.7906197777835402,1.7536214726560113,1.8300896423519548
3b,tailrl,100,ui_type:text,977,1,0.3466706915301945,0.3211980532721341,0.3709697055719038,1.8029605228720922,1.774577229649761,1.8302741327661691
3b,tailrl,100,ui_type:text,977,2,0.4172580155714506,0.38918455921179784,0.4442569638782255,1.88992684110838,1.8596520566342456,1.9186589039783954
3b,tailrl,100,ui_type:text,977,4,0.4796377478822353,0.450565955677294,0.5083382923409885,1.9604737897551243,1.9299068085440243,1.9897197026860023
3b,tailrl,100,ui_type:text,977,8,0.5331363386779046,0.5045640630751737,0.56250506357211,2.0187160983652483,1.9886892327442798,2.0486710712090717
3b,tailrl,100,ui_type:text,977,16,0.5804259761840425,0.5513547334215922,0.6088492427653739,2.0690464132425883,2.038899802162294,2.09822058894721
3b,tailrl,100,ui_type:text,977,32,0.6238001462057717,0.5954677532943421,0.6512878476421728,2.114428113827182,2.085098727967185,2.142649265040555
3b,tailrl,100,ui_type:text,977,64,0.6631082978062314,0.635716597254241,0.6900578686096901,2.1550405918633864,2.126497442095973,2.183595906206466
3b,tailrl,100,ui_type:text,977,128,0.6978154116784079,0.6706410474800514,0.7248609092317774,2.1906046248189286,2.1625384461083863,2.2187500467136596
3b,tailrl,200,overall,1581,1,0.2586414354048071,0.23959957849067046,0.2784017544769924,1.6832911499137289,1.6611528443518386,1.7054689165698063
3b,tailrl,200,overall,1581,2,0.303274411979772,0.2832059622484654,0.32366198483439435,1.74914835184836,1.726937460275228,1.7721113100185006
3b,tailrl,200,overall,1581,4,0.34465180296882836,0.32415804659419617,0.36578521782036605,1.8029293888739923,1.7797872158826564,1.8260498157884086
